"channel","lambda","y","xhat","Jhat","score"
"Gaussian",0,-3.092,-0.928489696974926,-2.85697939394987,-0.928489696974926
"Gaussian",0,-3.088,-0.928368142065646,-2.8567362841313,-0.928368142065646
"Gaussian",0,-3.084,-0.92824619603192,-2.85649239206386,-0.92824619603192
"Gaussian",0,-3.08,-0.928123857079061,-2.85624771415814,-0.928123857079061
"Gaussian",0,-3.076,-0.928001123401938,-2.85600224680389,-0.928001123401938
"Gaussian",0,-3.072,-0.927877993184914,-2.85575598636984,-0.927877993184914
"Gaussian",0,-3.068,-0.927754464601767,-2.85550892920354,-0.927754464601767
"Gaussian",0,-3.064,-0.927630535815627,-2.85526107163126,-0.927630535815627
"Gaussian",0,-3.06,-0.927506204978902,-2.85501240995781,-0.927506204978902
"Gaussian",0,-3.056,-0.927381470233181,-2.8547629404664,-0.927381470233181
"Gaussian",0,-3.052,-0.927256329709208,-2.85451265941843,-0.927256329709208
"Gaussian",0,-3.048,-0.927130781526734,-2.85426156305347,-0.927130781526734
"Gaussian",0,-3.044,-0.927004823794515,-2.85400964758906,-0.927004823794515
"Gaussian",0,-3.04,-0.926878454610212,-2.85375690922047,-0.926878454610212
"Gaussian",0,-3.036,-0.926751672060264,-2.85350334412055,-0.926751672060264
"Gaussian",0,-3.032,-0.926624474219875,-2.85324894843979,-0.926624474219875
"Gaussian",0,-3.028,-0.926496859152926,-2.85299371830591,-0.926496859152926
"Gaussian",0,-3.024,-0.926368824911864,-2.85273764982377,-0.926368824911864
"Gaussian",0,-3.02,-0.926240369537633,-2.85248073907529,-0.926240369537633
"Gaussian",0,-3.016,-0.926111491059623,-2.85222298211926,-0.926111491059623
"Gaussian",0,-3.012,-0.925982187495563,-2.85196437499113,-0.925982187495563
"Gaussian",0,-3.008,-0.925852456851413,-2.85170491370284,-0.925852456851413
"Gaussian",0,-3.004,-0.925722297121382,-2.85144459424278,-0.925722297121382
"Gaussian",0,-3,-0.925591706287689,-2.85118341257538,-0.925591706287689
"Gaussian",0,-2.996,-0.925460682320618,-2.85092136464125,-0.925460682320618
"Gaussian",0,-2.992,-0.925329223178392,-2.8506584463568,-0.925329223178392
"Gaussian",0,-2.988,-0.925197326807057,-2.85039465361411,-0.925197326807057
"Gaussian",0,-2.984,-0.925064991140407,-2.85012998228085,-0.925064991140407
"Gaussian",0,-2.98,-0.92493221409994,-2.8498644281999,-0.92493221409994
"Gaussian",0,-2.976,-0.924798993594724,-2.84959798718948,-0.924798993594724
"Gaussian",0,-2.972,-0.924665327521327,-2.84933065504269,-0.924665327521327
"Gaussian",0,-2.968,-0.924531213763716,-2.84906242752747,-0.924531213763716
"Gaussian",0,-2.964,-0.924396650193213,-2.84879330038645,-0.924396650193213
"Gaussian",0,-2.96,-0.924261634668335,-2.84852326933667,-0.924261634668335
"Gaussian",0,-2.956,-0.924126165034768,-2.84825233006955,-0.924126165034768
"Gaussian",0,-2.952,-0.923990239125239,-2.84798047825047,-0.923990239125239
"Gaussian",0,-2.948,-0.92385385475943,-2.84770770951888,-0.92385385475943
"Gaussian",0,-2.944,-0.923717009743895,-2.84743401948782,-0.923717009743895
"Gaussian",0,-2.94,-0.923579701871975,-2.84715940374397,-0.923579701871975
"Gaussian",0,-2.936,-0.923441928923656,-2.84688385784736,-0.923441928923656
"Gaussian",0,-2.932,-0.923303688665555,-2.84660737733112,-0.923303688665555
"Gaussian",0,-2.928,-0.923164978850727,-2.84632995770146,-0.923164978850727
"Gaussian",0,-2.924,-0.923025797218684,-2.84605159443739,-0.923025797218684
"Gaussian",0,-2.92,-0.922886141495176,-2.84577228299036,-0.922886141495176
"Gaussian",0,-2.916,-0.922746009392176,-2.84549201878436,-0.922746009392176
"Gaussian",0,-2.912,-0.922605398607773,-2.84521079721559,-0.922605398607773
"Gaussian",0,-2.908,-0.922464306826028,-2.84492861365209,-0.922464306826028
"Gaussian",0,-2.904,-0.922322731716917,-2.84464546343385,-0.922322731716917
"Gaussian",0,-2.9,-0.92218067093622,-2.84436134187246,-0.92218067093622
"Gaussian",0,-2.896,-0.922038122125412,-2.84407624425083,-0.922038122125412
"Gaussian",0,-2.892,-0.921895082911559,-2.84379016582315,-0.921895082911559
