"sigma","index","singular_value","normalized_singular_value"
0.1,96,7.59934462923388e-17,3.71170160876179e-17
0.1,97,7.49991256308826e-17,3.6631366103466e-17
0.1,98,7.3591604606107e-17,3.59438991827097e-17
0.1,99,7.25821102935999e-17,3.54508380245995e-17
0.1,100,7.17129540591321e-17,3.50263213391304e-17
0.1,101,6.99923817622772e-17,3.41859526923843e-17
0.1,102,6.94288528214313e-17,3.39107116843275e-17
0.1,103,6.79746397286762e-17,3.32004392412147e-17
0.1,104,6.60715968127537e-17,3.22709475814471e-17
0.1,105,6.54336183740465e-17,3.19593436586305e-17
0.1,106,6.50771779089892e-17,3.1785249613403e-17
0.1,107,6.41749537386823e-17,3.13445817574527e-17
0.1,108,6.16497401700425e-17,3.01112070754925e-17
0.1,109,6.02778731015768e-17,2.94411543994442e-17
0.1,110,5.99943038821652e-17,2.93026524128602e-17
0.1,111,5.8473671718229e-17,2.85599393073768e-17
0.1,112,5.69262721235742e-17,2.78041523487511e-17
0.1,113,5.66401679782203e-17,2.76644122437296e-17
0.1,114,5.57678532069663e-17,2.72383528533771e-17
0.1,115,5.29621642286351e-17,2.58679872754697e-17
0.1,116,5.17319122323401e-17,2.52671027865278e-17
0.1,117,5.1215102366317e-17,2.50146804916154e-17
0.1,118,4.98542606910299e-17,2.43500128812003e-17
0.1,119,4.78820927851769e-17,2.33867589236494e-17
0.1,120,4.68940671209667e-17,2.29041835666588e-17
0.1,121,4.58800722807986e-17,2.24089242432364e-17
0.1,122,4.4135515408192e-17,2.15568409562487e-17
0.1,123,4.3098443054295e-17,2.10503100233635e-17
0.1,124,4.10936554818749e-17,2.00711238407613e-17
0.1,125,3.95656266788747e-17,1.93247980399137e-17
0.1,126,3.87914984490961e-17,1.89466953039483e-17
0.1,127,3.70169655060651e-17,1.80799709874709e-17
0.1,128,3.35806024070893e-17,1.64015690903268e-17
0.1,129,3.31756149738268e-17,1.62037635451241e-17
0.1,130,3.12454171273193e-17,1.52610087680148e-17
0.1,131,3.07556467648415e-17,1.50217932131182e-17
0.1,132,2.97627965908617e-17,1.45368614502075e-17
0.1,133,2.79871212495797e-17,1.36695791591108e-17
0.1,134,2.65620510780744e-17,1.29735408155112e-17
0.1,135,2.56394852443959e-17,1.25229376048238e-17
0.1,136,2.41403219906269e-17,1.17907104283637e-17
0.1,137,2.36970094089422e-17,1.15741859643601e-17
0.1,138,2.17911987334975e-17,1.06433424646679e-17
0.1,139,2.03364336484349e-17,9.93280041531465e-18
0.1,140,1.9448852586599e-17,9.49928460364195e-18
