"channel","n","lambda","probability","ci_lower","ci_upper","collapse_coordinate","channel_display","population_label"
"Gaussian",500,0.6,1,0.999616001629323,1,-6.20417618345057,"Gaussian","n = 500"
"Gaussian",500,0.65,1,0.999616001629323,1,-5.42865416051925,"Gaussian","n = 500"
"Gaussian",500,0.7,0.9983,0.997279014584904,0.99893829263888,-4.65313213758793,"Gaussian","n = 500"
"Gaussian",500,0.75,0.9896,0.987415147909437,0.991408840885996,-3.87761011465661,"Gaussian","n = 500"
"Gaussian",500,0.8,0.9612,0.957234441861099,0.964811358041789,-3.10208809172529,"Gaussian","n = 500"
"Gaussian",500,0.85,0.9,0.893965631474089,0.90572716982937,-2.32656606879396,"Gaussian","n = 500"
"Gaussian",500,0.9,0.7958,0.787786189018452,0.803586637545455,-1.55104404586264,"Gaussian","n = 500"
"Gaussian",500,0.95,0.655,0.645625032092957,0.664255928412134,-0.77552202293132,"Gaussian","n = 500"
"Gaussian",500,1,0.4995,0.489702258711679,0.509298125286691,0,"Gaussian","n = 500"
"Gaussian",500,1.05,0.3535,0.3441881562556,0.362924355267008,0.775522022931322,"Gaussian","n = 500"
"Gaussian",500,1.1,0.2374,0.229162390305943,0.245839285638336,1.55104404586264,"Gaussian","n = 500"
"Gaussian",500,1.15,0.1456,0.138823190694573,0.152648987350562,2.32656606879397,"Gaussian","n = 500"
"Gaussian",500,1.2,0.0887,0.0832843920900025,0.094431484969716,3.10208809172529,"Gaussian","n = 500"
"Gaussian",500,1.25,0.0503,0.0461862651196792,0.0547591030149073,3.87761011465661,"Gaussian","n = 500"
"Gaussian",500,1.3,0.0273,0.0242830924426636,0.030679939616974,4.65313213758793,"Gaussian","n = 500"
"Gaussian",500,1.35,0.0126,0.0105934322318528,0.0149808893798827,5.42865416051925,"Gaussian","n = 500"
"Gaussian",500,1.4,0.0072,0.00572169385772118,0.00905677493641767,6.20417618345058,"Gaussian","n = 500"
"Gaussian",500,1.45,0.0041,0.0030238546563457,0.00555699492769134,6.9796982063819,"Gaussian","n = 500"
"Gaussian",500,1.5,0.0024,0.00161337880939784,0.00356877636909951,7.75522022931322,"Gaussian","n = 500"
"Gaussian",500,1.55,0.0013,0.000759911872579653,0.00222308810233318,8.53074225224454,"Gaussian","n = 500"
"Gaussian",500,1.6,6e-04,0.000275013476330998,0.00130852409630079,9.30626427517586,"Gaussian","n = 500"
"Gaussian",500,1.65,2e-04,5.48489273208578e-05,0.000728995844007467,10.0817862981072,"Gaussian","n = 500"
"Gaussian",500,1.7,1e-04,1.76526736011224e-05,0.000566268897401338,10.8573083210385,"Gaussian","n = 500"
"Gaussian",500,1.75,0,0,0.000383998370676596,11.6328303439698,"Gaussian","n = 500"
"Gaussian",500,1.8,0,0,0.000383998370676596,12.4083523669011,"Gaussian","n = 500"
"Gaussian",500,1.85,0,0,0.000383998370676596,13.1838743898325,"Gaussian","n = 500"
"Gaussian",500,1.9,0,0,0.000383998370676596,13.9593964127638,"Gaussian","n = 500"
"Gaussian",500,1.95,0,0,0.000383998370676596,14.7349184356951,"Gaussian","n = 500"
"Gaussian",500,2,0,0,0.000383998370676596,15.5104404586264,"Gaussian","n = 500"
"Laplace",25,0,1,0.999616001629323,1,-4.23869845240501,"Laplace","n = 25"
"Laplace",25,0.05,1,0.999616001629323,1,-4.02676352978476,"Laplace","n = 25"
"Laplace",25,0.1,1,0.999616001629323,1,-3.81482860716451,"Laplace","n = 25"
"Laplace",25,0.15,1,0.999616001629323,1,-3.60289368454426,"Laplace","n = 25"
